instance_name,Deterministic Greedy,Genetic,Local Search Best Improvement,Local Search First Improvement,Non Deterministc Greedy,Simulated Annealing
a280,3148.4173580000006,4167.856983000001,3520.2525510000023,4744.040271,5461.014135000001,2880.681174999785
ali535,2918.381937000001,3640.930296000002,3644.352543999997,4150.666939000005,4471.284069000002,2199.842239000148
att48,40526.421056,40125.75461,35368.70370000001,35594.329389,61683.26678300001,35059.12032199997
att532,112099.44569100004,148654.73939699985,157516.05077700008,179535.75767500006,180778.28949599995,96409.67101300054
berlin52,8980.918278000001,8492.946772000001,8095.476038,8179.542752000002,12847.81627,7735.798383000015
bier127,135751.77804200002,152685.77257600002,126955.69540500012,124600.865241,238601.12472100003,125312.85936700004
burma14,38.68810799999999,30.878504000000003,31.828318000000003,33.25541199999999,53.488396,30.87850400000005
ch130,7575.286292999999,8241.427341,6540.629288000003,6492.635958999999,11955.778024999998,6496.682765000071
ch150,8194.614325999997,9428.434237000003,7399.414719,7713.850900999992,12407.820082999991,6834.24097800003
d1291,60576.06389500106,108770.65738000014,112985.03045900026,124672.50007000024,126035.24337999996,61563.246184999545
d1655,75473.79626300103,120249.06468199968,137849.75046500008,135296.81884399988,134651.54200599974,74567.8502490008
d198,18267.350538999985,19684.478392999987,17958.02499499999,22109.06357199998,33267.86487799998,16323.556865000006
d2103,87279.00105899842,170838.00377799894,179824.9240420009,175478.3376889989,184911.37080699857,102469.4608459994
d493,43646.37611500003,54833.19567,54952.65757899999,56626.17914599998,64693.854464,38714.71972799941
d657,61954.59466000003,89343.49712999997,89613.85097200007,95609.24486700007,99623.91042200006,53672.72279799988
dsj1000,24630960.10147501,34437014.18941599,33510696.744831026,35281733.61369005,37662721.234538026,21226948.770773984
eil101,825.2423319999998,781.7972970000003,707.6603069999999,678.2834979999997,1100.581736,672.3643679999832
eil51,513.6100079999999,452.969101,468.675667,445.8593909999999,692.7772249999999,443.31856099999663
eil76,711.9933010000001,645.4919130000001,583.7336290000001,579.6831250000006,952.940035,564.815918000003
fl1400,27178.8007659997,33576.09682099991,47122.29648299961,43458.69373200003,45176.3410379999,22548.0874549999
fl1577,27428.98187700006,47158.63216600005,50693.42665699998,58608.137256000016,61526.86593500009,26746.62634200068
fl417,14792.292502999975,18338.019237999983,19182.18040800004,27780.96261000004,31848.779490000048,12230.648376000105
gil262,3241.4668499999984,3699.717191999996,3414.914973999997,4078.0878340000063,4977.085958999997,2591.924383000332
gr137,1022.221007,1008.574169,756.7856909999997,778.3354790000004,1337.4897490000003,747.8952799999336
